{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:02:25', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:02:40', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:02:52', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:03:08', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:03:23', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:03:37', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:03:54', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Заміни', 'chat_id': 5015776470, 'date': '18:04:26', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:04:26', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Викладачі', 'chat_id': 5015776470, 'date': '18:04:26', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Погода', 'chat_id': 5015776470, 'date': '18:04:26', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:04:27', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Викладачі', 'chat_id': 5015776470, 'date': '18:04:27', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:04:27', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Заміни', 'chat_id': 5015776470, 'date': '18:04:28', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:04:32', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Погода', 'chat_id': 5015776470, 'date': '18:04:32', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Викладачі', 'chat_id': 5015776470, 'date': '18:04:32', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Заміни', 'chat_id': 5015776470, 'date': '18:04:32', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:04:33', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:04:33', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Погода', 'chat_id': 5015776470, 'date': '18:04:33', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Викладачі', 'chat_id': 5015776470, 'date': '18:04:33', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Заміни', 'chat_id': 5015776470, 'date': '18:04:33', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Погода', 'chat_id': 5015776470, 'date': '18:04:51', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
{'text': '/Розклад', 'chat_id': 5015776470, 'date': '18:05:03', 'username': 'dodcool', 'first_name': '₴_₴', 'last_name': 'None'}
